time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
2015-02-05T09:40:30.000Z,59.2816,-152.626,63.7,2.1,ml,,,,0.5,ak,ak11502859,2015-02-05T09:56:45.346Z,"71km SW of Anchor Point, Alaska",earthquake
2015-02-05T09:33:44.040Z,39.6212,-119.3385,6.02,1.45,ml,10,133.56,0.102,,nn,nn00481075,2015-02-05T09:35:46.273Z,"7km W of Fernley, Nevada",earthquake
2015-02-05T09:29:22.000Z,61.4162,-146.5265,20.5,1.3,ml,,,,0.62,ak,ak11502858,2015-02-05T09:43:20.284Z,"33km NNW of Valdez, Alaska",earthquake
2015-02-05T09:18:36.000Z,61.8273,-148.5158,16,1,ml,,,,0.31,ak,ak11502855,2015-02-05T09:43:14.932Z,"17km ENE of Sutton-Alpine, Alaska",earthquake
2015-02-05T09:12:41.000Z,65.0879,-148.6032,6.4,0.6,ml,,,,0.59,ak,ak11502854,2015-02-05T09:29:21.158Z,"38km NW of Ester, Alaska",earthquake
2015-02-05T09:12:16.490Z,37.446,-117.3983,4.08,1.35,ml,19,155.92,0.558,,nn,nn00481074,2015-02-05T09:14:42.482Z,"32km SSW of Goldfield, Nevada",earthquake
2015-02-05T09:05:24.510Z,38.8246651,-122.828331,3.25,0.45,md,14,61,0.005457,0.02,nc,nc72392181,2015-02-05T09:42:02.675Z,"8km NW of The Geysers, California",earthquake
2015-02-05T09:00:55.000Z,64.7919,-149.2307,23.1,0.8,ml,,,,0.62,ak,ak11502852,2015-02-05T09:15:13.585Z,"24km NNW of North Nenana, Alaska",earthquake
2015-02-05T08:51:26.160Z,38.8074989,-122.815834,2.77,0.55,md,9,107,0.01051,0.02,nc,nc72392176,2015-02-05T09:18:01.772Z,"6km WNW of The Geysers, California",earthquake
2015-02-05T08:25:51.770Z,32.7348333,-116.2136667,1.1,1.49,ml,10,206,0.4727,0.42,ci,ci37313144,2015-02-05T08:29:52.780Z,"21km W of Ocotillo, California",earthquake
2015-02-05T08:23:02.000Z,63.5479,-151.0216,7.6,0.8,ml,,,,0.21,ak,ak11502851,2015-02-05T08:34:17.257Z,"104km W of Cantwell, Alaska",earthquake
2015-02-05T08:04:02.250Z,38.8256683,-122.8286667,2.49,0.56,md,13,131,0.01396,0.03,nc,nc72392171,2015-02-05T08:35:06.927Z,"8km NW of The Geysers, California",earthquake
2015-02-05T07:42:53.560Z,5.2804,-82.6657,10,4.6,mb,,77,4.772,0.94,us,usc000tlvt,2015-02-05T08:01:18.315Z,"South of Panama",earthquake
2015-02-05T07:41:24.700Z,36.5353,-117.0983,15.28,1.41,ml,17,202.15,0.206,,nn,nn00481073,2015-02-05T07:43:38.323Z,"51km SW of Beatty, Nevada",earthquake
2015-02-05T07:27:52.420Z,32.9366667,-116.334,11.04,1.02,ml,24,83,0.07183,0.26,ci,ci37313128,2015-02-05T07:31:43.534Z,"22km NE of Pine Valley, California",earthquake
2015-02-05T07:27:26.820Z,38.7641667,-112.1096667,7.44,3.05,ml,,,,,uu,uu60101052,2015-02-05T08:38:55.341Z,"4km NW of Richfield, Utah",earthquake
2015-02-05T07:06:47.500Z,36.5222,-98.1845,6.14,3.8,mb_lg,,25,0.419,0.82,us,usc000tlva,2015-02-05T10:04:19.169Z,"8km ESE of Helena, Oklahoma",earthquake
